"layer_no" "d13c" "d15n" "d34s" "habitat" "c_ug" "n_ug" "s_ug" "c_n" "predicted_dm" "life_history"
"1" 0 -15.91 14.27 14.48 "Maternal" 36.28 16.08 3.03 2.256020543 0.253862749 "Adult"
"2" 1 -16.06 14.53 13.51 "Maternal" 1.84 5.19 0.57 0.355091758 0.383137709 "Adult"
"3" 2 -16.6 13.92 14 "Maternal" 33.4 14.99 2.8 2.227671705 0.512412669 "Adult"
"4" 3 -18.63 12.04 12.6 "Maternal" 39.17 16.9 3.27 2.317550546 0.64168763 "Adult"
"5" 4 -19.03 11.75 11.42 "Freshwater" 42.05 17.9 3.72 2.349315029 0.77096259 "Adult"
"6" 5 -18.66 12.38 13.41 "Estuary" 43.25 17.81 3.15 2.428783483 0.90023755 "Adult"
"7" 6 -19.06 12.01 13.46 "Estuary" 58.4 22.81 4.38 2.560731327 1.02951251 "Adult"
"8" 7 -19.61 11.38 13.39 "Estuary" 53.59 21.35 4.44 2.509877441 1.15878747 "Adult"
"9" 8 -20.03 11.86 14.32 "Ocean" 199.8 67.59 13.82 2.956104882 1.28806243 "Adult"
"10" 9 -19.61 11.81 13.65 "Ocean" 80.51 29.8 5.79 2.701856434 1.417337391 "Adult"
"11" 10 -19.11 12.25 13.72 "Ocean" 55.75 21.99 4.01 2.535685752 1.546612351 "Adult"
"12" 11 -18.97 12.07 13.19 "Ocean" 62.24 23.8 4.53 2.614816182 1.675887311 "Adult"
"13" 12 -19.24 12.07 13.32 "Ocean" 101.19 36.25 7.06 2.791541366 1.805162271 "Adult"
"14" 13 -18.51 12.24 12.58 "Ocean" 24.51 12.18 1.92 2.012535335 1.934437231 "Adult"
"15" 14 NA NA 15.68 "Ocean" NA NA 0.25 NA 2.063712191 "Adult"
"16" 15 -18.92 12.64 13.94 "Ocean" 163.24 55.87 11.56 2.921684735 2.192987152 "Adult"
"17" 16 -18.76 12.92 13.09 "Ocean" 118.02 41.61 8.6 2.836494469 2.322262112 "Adult"
"18" 17 -18.1 13.5 14.84 "Ocean" 186.81 63.41 13.37 2.946041663 2.451537072 "Adult"
"19" 18 -17.28 13.29 15.08 "Ocean" 131.25 45.61 9.89 2.877910066 2.580812032 "Adult"
"20" 19 -17.25 13.03 15.46 "Ocean" 507.75 165.69 34.97 3.064391786 2.710086992 "Adult"
"21" 20 -16.67 13.17 15.88 "Ocean" 262.12 86.21 17.34 3.040439453 2.839361952 "Adult"
"22" 21 -16.44 13.12 16.26 "Ocean" 843.02 275.61 57.83 3.058773739 2.968636913 "Adult"
"23" 22 -15.78 14.3 16.71 "Ocean" 917.88 299.23 58.99 3.067513862 3.097911873 "Adult"
"24" 23 -15.56 14.88 16.9 "Ocean" 649.99 211.11 41.22 3.07884905 3.227186833 "Adult"
"25" 24 -15.32 15.01 16.9 "Ocean" 512.57 166.6 31.62 3.07661261 3.356461793 "Adult"
"26" 25 -15.14 15.62 16.95 "Ocean" 464.38 151.16 27.31 3.072111775 3.485736753 "Adult"
"27" 26 -15.06 16.04 17.2 "Ocean" 596.94 194.76 35.7 3.064947209 3.615011713 "Adult"
"28" 27 -15.21 15.22 17.99 "Ocean" 3282.9 1081.29 185.29 3.036108304 3.744286674 "Adult"
"29" 28 -15.75 14.5 17.79 "Ocean" 3552.16 1153.95 191.18 3.078273453 3.873561634 "Adult"
"30" 0 -15.7 16.1 12.84 NA NA NA NA NA NA "Juvenile"
"31" 1 -19.56 14.59 8.52 NA NA NA NA NA NA "Juvenile"
"32" 2 -16.88 15.99 10.34 NA NA NA NA NA NA "Juvenile"
"33" 3 -20.61 12.39 7.77 NA NA NA NA NA NA "Juvenile"
"34" 4 -33.17 10.97 -4.99 NA NA NA NA NA NA "Juvenile"
