"Fish_ID" "Sample" "Spot_number" "age" "distance" "Spot_designation" "d34Scor_vcdt" "wStdErr_95T_permil"
"1" "NP163500" "CH-1" "CH-1-EDGE" NA -440 "River" 5.67201616737996 0.879033809
"2" "NP163500" "CH-1" "CH-1.2" NA -400 "Transition" 8.25872902656073 0.955644408
"3" "NP163500" "CH-1" "CH-1.3" NA -360 "Hatchery" 13.5358841111337 1.05732072
"4" "NP163500" "CH-1" "CH-1.4" NA -320 "Hatchery" 13.5827785702964 1.225618679
"5" "NP163500" "CH-1" "CH-1.5" NA -280 "Hatchery" 13.9314641215496 0.897982474
"6" "NP163500" "CH-1" "CH-1.6" NA -240 "Hatchery" 14.0728947308833 1.498584574
"7" "NP163500" "CH-1" "CH-1.7" NA -200 "Hatchery" 15.7908260308402 1.206000784
"8" "NP163500" "CH-1" "CH-1.8" NA -160 "Hatchery" 15.0532176256141 1.133566895
"9" "NP163500" "CH-1" "CH-1.9" NA -120 "Hatchery" 13.4333774879424 1.016560119
"10" "NP163500" "CH-1" "CH-1.10" NA -80 "Hatchery" 16.5101385775423 0.983722775
"11" "NP163500" "CH-1" "CH-1.11" NA -40 "Hatchery" 16.0590369766547 0.796940028
"12" "NP163500" "CH-1" "CH-1.12" 0 0 "Core" 17.6241706858683 0.397022295
"13" "NP163500" "CH-1" "CH-1.13" NA 40 "Hatchery" 16.9272977379255 0.68819944
"14" "NP163500" "CH-1" "CH-1.14" NA 80 "Hatchery" 16.6947048434209 0.687617386
"15" "NP163500" "CH-1" "CH-1.15" NA 120 "Hatchery" 16.4153759934788 0.896630827
"16" "NP163500" "CH-1" "CH-1.16" NA 160 "Hatchery" 17.8867434277563 0.791329295
"17" "NP163500" "CH-1" "CH-1.17" NA 200 "Hatchery" 16.7018148676494 0.918196407
"18" "NP163500" "CH-1" "CH-1.18" NA 240 "Hatchery" 17.9295847202409 0.81860174
"19" "NP163500" "CH-1" "CH-1.19" NA 280 "Hatchery" 14.5648223626112 0.886714236
"20" "NP163500" "CH-1" "CH-1.20" NA 320 "Hatchery" 14.3438681701877 0.936700662
"21" "NP163500" "CH-1" "CH-1.21" NA 360 "Hatchery" 11.975392296719 0.990811829
"22" "NP163500" "CH-1" "CH-1.22" NA 400 "Hatchery" 12.9164741978579 1.09044074
"23" "NP163500" "CH-1" "CH-1.23" NA 440 "Transition" 8.91461743993844 1.33327229
"24" "NP163500" "CH-1" "CH-1.24" NA 480 "River" 4.42884881008982 1.835879987
"25" "NP163653" "CH-2" "CH-2.1" NA 400 "Floodplain" -5.56345243756089 1.520907909
"26" "NP163653" "CH-2" "CH-2.2" NA 360 "Floodplain" -2.27676448610818 1.315608466
"27" "NP163653" "CH-2" "CH-2.3" NA 320 "Floodplain" -1.1770429997962 1.291653055
"28" "NP163653" "CH-2" "CH-2.4" NA 280 "Transition" 0.850332857822057 1.379592372
"29" "NP163653" "CH-2" "CH-2.5" NA 160 "Hatchery" 13.4994282544211 1.048598132
"30" "NP163653" "CH-2" "CH-2.6" NA 120 "Hatchery" 14.2363573579694 0.924924404
"31" "NP163653" "CH-2" "CH-2.7" NA 200 "Hatchery" 11.9158401829586 1.171003467
"32" "NP163653" "CH-2" "CH-2.8" NA 240 "Hatchery" 9.50617598442145 1.127351265
"33" "NP163653" "CH-2" "CH-2.9" NA 80 "Hatchery" 14.4001143491157 0.49502098
"34" "NP163653" "CH-2" "CH-2.10" NA 40 "Hatchery" 14.836339243258 0.767582191
"35" "NP163653" "CH-2" "CH-2.11" NA 0 "Core" 15.5592068020741 0.754702022
"36" "NP163653" "CH-2" "CH-2.12" NA -40 "Hatchery" 14.2933054819646 1.162157033
"37" "NP163653" "CH-2" "CH-2.13" NA -80 "Hatchery" 12.5814652537192 1.060267956
"38" "NP163653" "CH-2" "CH-2.14" NA -120 "Hatchery" 11.4132928016667 1.071718367
"39" "NP163653" "CH-2" "CH-2.15" NA -360 "Floodplain" -4.34419649933198 2.139494482
"40" "NP163653" "CH-2" "CH-2.16" NA -240 "Floodplain" -2.7177671353849 1.834725384
"41" "NP163668" "CH-3" "CH-3.1" NA -480 "Floodplain" -3.79070149219933 1.861268457
"42" "NP163668" "CH-3" "CH-3.2" NA -400 "Floodplain" -1.23229286959663 1.130291891
"43" "NP163668" "CH-3" "CH-3.3" NA -440 "Floodplain" -3.17255960872214 1.142072986
"44" "NP163668" "CH-3" "CH-3.4" NA -360 "Floodplain" -1.43203020628129 1.026569597
"45" "NP163668" "CH-3" "CH-3.5" NA -320 "Hatchery" 10.7850746099676 0.904000108
"46" "NP163668" "CH-3" "CH-3.6" NA -240 "Hatchery" 15.7147895296969 0.867376038
"47" "NP163668" "CH-3" "CH-3.7" NA -200 "Hatchery" 15.7356440912076 1.35353763
"48" "NP163668" "CH-3" "CH-3.8" NA -160 "Hatchery" 14.8486572470167 1.239260854
"49" "NP163668" "CH-3" "CH-3.9" NA -120 "Hatchery" 15.3250968004891 1.045241065
"50" "NP163668" "CH-3" "CH-3.10" NA -80 "Hatchery" 16.6891345696624 0.712022947
"51" "NP163668" "CH-3" "CH-3.11" NA NA NA 13.0677546815207 0.372728446
"52" "NP163668" "CH-3" "CH-3.12" 0 0 "Core" 17.888102031112 0.552208411
"53" "NP163668" "CH-3" "CH-3.13" NA 40 "Hatchery" 16.241157756493 0.695390059
"54" "NP163668" "CH-3" "CH-3.14" NA 80 "Hatchery" 16.3457022847179 0.983458262
"55" "NP163668" "CH-3" "CH-3.15" NA 120 "Hatchery" 16.0961721350452 0.79836599
"56" "NP163668" "CH-3" "CH-3.16" NA 160 "Hatchery" 14.6667176142926 0.956859198
"57" "NP163668" "CH-3" "CH-3.17" NA 200 "Hatchery" 14.2840443357562 0.866937403
"58" "NP163668" "CH-3" "CH-3.18" NA 240 "Hatchery" 12.6949312773135 1.091524072
"59" "NP163668" "CH-3" "CH-3.19" NA 320 "Transition" -0.0891866494577158 1.015468644
"60" "NP163668" "CH-3" "CH-3.20" NA 280 "Transition" 0.992895636618929 1.702752078
"61" "NP163668" "CH-3" "CH-3.21" NA 360 "Floodplain" -1.56644136494348 1.163080476
"62" "NP163668" "CH-3" "CH-3.22" NA 400 "Floodplain" -4.17980549328627 1.409551971
"63" "NP163668" "CH-3" "CH-3.23" NA 440 "Floodplain" -4.73282498924436 1.574804582
"64" "NP163668" "CH-3" "CH-3.24" NA 480 "Floodplain" -5.76876004800402 1.607843465
"65" "NP16201" "CH-4" "CH-4.1" NA 450 "River" 3.03734460974121 1.448824943
"66" "NP16201" "CH-4" "CH-4.2" NA 400 "Hatchery" 14.4803398772728 0.864994629
"67" "NP16201" "CH-4" "CH-4.3" NA 350 "Hatchery" 14.4214444218011 1.037719217
"68" "NP16201" "CH-4" "CH-4.4" NA 300 "Hatchery" 15.4447444693521 1.031476392
"69" "NP16201" "CH-4" "CH-4.5" NA 250 "Hatchery" 17.9391855172882 1.26649294
"70" "NP16201" "CH-4" "CH-4.6" NA 200 "Hatchery" 16.131518465684 1.29079952
"71" "NP16201" "CH-4" "CH-4.7" NA 150 "Hatchery" 15.177235468605 0.73491064
"72" "NP16201" "CH-4" "CH-4.8" NA 100 "Hatchery" 15.1187928809184 0.847771817
"73" "NP16201" "CH-4" "CH-4.9" NA 50 "Hatchery" 16.8661379435275 0.520129083
"74" "NP16201" "CH-4" "CH-4.10" 0 0 "Core" 17.1027613613206 0.719652212
"75" "NP163722" "CH-6" "CH_6.1" NA -650 "Floodplain" -4.01917328985806 0.91299362
"76" "NP163722" "CH-6" "CH_6.2" NA -600 "Floodplain" -2.64207028508028 0.7503530055
"77" "NP163722" "CH-6" "CH_6.3" NA -550 "Floodplain" -3.55636505672168 0.841728947
"78" "NP163722" "CH-6" "CH_6.4" NA -500 "Transition" 0.681005592917128 0.933626846
"79" "NP163722" "CH-6" "CH_6.5" NA NA NA 7.76508049724885 0.820794715
"80" "NP163722" "CH-6" "CH_6.6" NA NA NA 7.37027036206779 0.7807719945
"81" "NP163722" "CH-6" "CH_6.7" NA -350 "Hatchery" 13.3385922604895 0.997717205
"82" "NP163722" "CH-6" "CH_6.8" NA -300 "Hatchery" 14.1978635962231 0.905468658
"83" "NP163722" "CH-6" "CH_6.9" NA NA NA 21.5249926408985 0.745503799
"84" "NP163722" "CH-6" "CH_6.10" NA -200 "Hatchery" 16.9118549464484 0.9365002525
"85" "NP163722" "CH-6" "CH_6.11" NA -150 "Hatchery" 15.1542750718928 0.6484540715
"86" "NP163722" "CH-6" "CH_6.12" NA -100 "Hatchery" 15.6533353712384 0.6472673395
"87" "NP163722" "CH-6" "CH_6.13" NA -50 "Hatchery" 14.7565892262755 1.1108460755
"88" "NP163722" "CH-6" "CH_6.14" 0 0 "Core" 18.5485417657316 0.635090649
"89" "NP163722" "CH-6" "CH_6.15" NA 50 "Hatchery" 16.7516982541946 0.929400145
"90" "NP163722" "CH-6" "CH_6.16" NA 100 "Hatchery" 15.5383069537847 1.1284224955
"91" "NP163722" "CH-6" "CH_6.17" NA 150 "Hatchery" 13.8355240812445 0.9550074115
"92" "NP163722" "CH-6" "CH_6.18" NA 200 "Hatchery" 13.0908509385684 0.954947265
"93" "NP163722" "CH-6" "CH_6.19" NA 250 "Transition" 4.59887802006205 0.789661992
"94" "NP163722" "CH-6" "CH_6.20" NA 350 "Floodplain" -0.847015601295229 0.9733144565
"95" "NP163722" "CH-6" "CH_6.21" NA 300 "Transition" 2.90680547064288 1.217673404
"96" "NP163722" "CH-6" "CH_6.22" NA NA NA -8.67105382333615 1.391453987
"97" "NP163722" "CH-6" "CH_6.23" NA 500 "Floodplain" -5.46241763467152 1.316172136
"98" "NP163722" "CH-6" "CH_6.24" NA 400 "Floodplain" -2.66330978420841 1.714820867
"99" "NP163722" "CH-6" "CH_6.25" NA 450 "Floodplain" -4.4938919457465 1.830611036
