"order" "type" "day" "sequence" "slide" "ss_order" "sl_order" "status" "treatment" "id_series" "sl" "mg25" "ca48" "mn55" "sr88" "ba138" "pb208"
"1" 1 "MACS-3 1" "2017-12-12" 1 1 1 1 1 NA NA NA 221079.2 2315344.9 1198304.8 18317728.6 215884.3 170302.6
"2" 2 "Blank1" "2017-12-12" 1 1 2 2 2 NA NA NA 7388.1 8868.9 42485.7 3135.4 87.1 43.3
"3" 3 "Line2" "2017-12-12" 1 1 3 3 3 3 "EF / 161 / R / 1B" "19" 8134 3014297.7 40060.5 11686407.8 16689.7 85.5
"4" 4 "Raster2" "2017-12-12" 1 1 4 4 4 3 "EF / 161 / R / 1B" "19" 5131.2 2639981.2 36887.9 11703713.9 10779.6 78.8
"5" 5 "Line3" "2017-12-12" 1 1 5 5 3 6 "HB-S / 431 / R / 1C" "11.2" 7240.4 3356994.8 34830.3 13655608.9 16005.8 140.2
"6" 6 "Raster3" "2017-12-12" 1 1 6 6 4 6 "HB-S / 431 / R / 1C" "11.2" 6879.3 2971764 34127.2 10377321.6 30820.4 98.8
"7" 7 "Line4" "2017-12-12" 1 1 7 7 3 5 "CL-B / 1078 / R / 1D" "14.5" 4511.3 3242767.1 31544.5 11115461.5 22704 147.5
"8" 8 "Raster4" "2017-12-12" 1 1 8 8 4 5 "CL-B / 1078 / R / 1D" "14.5" 6887.5 2975206.9 31017.4 13477892.5 14258.9 65.4
"9" 9 "MACS-3 2" "2017-12-12" 1 1 9 9 1 NA NA NA 171182.1 1833179.1 909400.4 14199092.4 148772.2 122134.5
"10" 10 "Blank2" "2017-12-12" 1 1 10 10 2 NA NA NA 2529.5 8889.4 29173.2 4472.2 83.6 44.7
"11" 11 "Line5" "2017-12-12" 1 1 11 11 3 7 "HB-B / 410 / L / 1E" "14.3" 14560.8 3274542.1 29434.8 10479008.9 14612 119.1
"12" 12 "Raster5" "2017-12-12" 1 1 12 12 4 7 "HB-B / 410 / L / 1E" "14.3" 20494.8 3382917.4 31088 13301252.2 35922.2 104.9
"13" 13 "Line6" "2017-12-12" 1 1 13 13 3 8 "AB / 1788 / R / 1F" "13.5" 5160.7 3444111 27916.4 15793829.1 27578.7 169.2
"14" 14 "Raster6" "2017-12-12" 1 1 14 14 4 8 "AB / 1788 / R / 1F" "13.5" 3429.5 2659866 29310.6 11462358.8 18182.7 125.2
"15" 15 "Line7" "2017-12-12" 1 1 15 15 3 2 "WF-B / 1133 / R / 1G" "15.5" 7232 3372211.9 26946.2 12808676.1 21178.8 143.1
"16" 16 "Raster7" "2017-12-12" 1 1 16 16 4 2 "WF-B / 1133 / R / 1G" "15.5" 6886.1 3332773.8 27043.1 9916696.7 20872.5 117.5
"17" 17 "Line8" "2017-12-12" 1 1 17 17 3 4 "CL-S / 2104 / L / 1H" "9" 2896.6 3339722 26031.7 12414040.2 13282.4 83.7
"18" 18 "Raster8" "2017-12-12" 1 1 18 18 4 4 "CL-S / 2104 / L / 1H" "9" 2314.9 2929948.7 26194.3 10774372.7 17016.6 83.8
"19" 19 "MACS-3 3" "2017-12-12" 1 1 19 19 1 NA NA NA 215209.3 2070407.5 1095006.4 17335378.1 183485.8 145065.1
"20" 20 "Blank3" "2017-12-12" 1 1 20 20 2 NA NA NA 1656.7 8957.5 25207.3 6424.8 81.1 37.4
"21" 21 "MACS-3 4" "2017-12-12" 2 2 1 1 1 NA NA NA 188918.4 2038749.7 1127539.3 18179502 198802.8 158999.5
"22" 22 "Blank4" "2017-12-12" 2 2 2 2 2 NA NA NA 2704.5 8083.4 25575.5 4617.9 78.2 45
"23" 23 "Line9" "2017-12-12" 2 2 3 3 3 1 "WF-S / 3798 / R / 2A" "11" 13199 2706824.4 25608.4 8794779.2 16520.4 422.4
"24" 24 "Raster9" "2017-12-12" 2 2 4 4 4 1 "WF-S / 3798 / R / 2A" "11" 7859.3 2857758.8 24893.1 11389916.1 12193.4 140.4
"25" 25 "Line10" "2017-12-12" 2 2 5 5 3 2 "WF-B / 1143 / L / 2B" "18" 3493 3022618.8 24130.7 10432152.3 16278.2 190.5
"26" 26 "Raster10" "2017-12-12" 2 2 6 6 4 2 "WF-B / 1143 / L / 2B" "18" 3423.7 2892936.8 24335.2 11862965.4 17034.9 108.9
"27" 27 "Line11" "2017-12-12" 2 2 7 7 3 3 "EF / 174 / L / 2C" "14.5" 4418.1 3300776.5 23634.7 11348636 15769.4 95.2
"28" 28 "Raster11" "2017-12-12" 2 2 8 8 4 3 "EF / 174 / L / 2C" "14.5" 2237.7 3043881.8 23568.1 14173837.9 16017.1 90.2
"29" 29 "Line12" "2017-12-12" 2 2 9 9 3 8 "AB / 1774 / L / 2D" "15" 4938.3 2959843.9 23433.4 11454662.3 14974.2 71
"30" 30 "Raster12" "2017-12-12" 2 2 10 10 4 8 "AB / 1774 / L / 2D" "15" 4538.3 2727477.8 23863.9 9664497.5 22059.5 88.4
"31" 31 "MACS-3 5" "2017-12-12" 2 2 11 11 1 NA NA NA 191991.6 2112751.6 1072528.3 16912219.2 184860.2 157354.2
"32" 32 "Blank5" "2017-12-12" 2 2 12 12 2 NA NA NA 1018.8 8372.2 22622.8 6395.1 69.7 42.4
"33" 33 "Line13" "2017-12-12" 2 2 13 13 3 7 "HB-B / 403 / L / 2E" "15" 2969.7 3390207.2 22789.2 13223802 27396.1 96
"34" 34 "Raster13" "2017-12-12" 2 2 14 14 4 7 "HB-B / 403 / L / 2E" "15" 3434.3 2796878.7 23065.2 12517483.1 16898.7 132
