"fishid" "habitat" "forklength_mm" "side" "sr_edge" "ba_edge" "sr_core" "ba_core"
"1" 762 "Marsh" 40 "L" 0.866786236 1.740846811 1.296748802 0.133226583
"2" 767 "Marsh" 44 "L" 1.547179126 1.079821157 1.329910808 0.676858167
"3" 933 "Marsh" 42 "L" 1.052607824 1.473080348 1.674109564 0.160659878
"4" 4973 "Marsh" 63 "L" 0.775425886 1.709841172 0.826815831 0.522321344
"5" 4985 "Marsh" 48 "L" 1.843761381 0.293792448 1.353399312 0.208300389
"6" 4990 "Sand flat" 71 "L" 2.274456231 0.199620992 1.210984992 0.521013708
"7" 4991 "Sand flat" 63 "L" 0.950034307 0.684664982 1.213272027 0.441194496
"8" 4992 "Sand flat" 58 "L" 1.190401678 0.735445761 1.387086681 0.598644094
"9" 4993 "Sand flat" 67 "L" 1.143517462 0.664308894 1.379082059 0.52612097
"10" 5223 "Sand flat" 68 "R" 1.80714768 0.660088124 1.401781703 0.423254893
"11" 5224 "Sand flat" 55 "L" 3.102362874 0.214942779 1.619220726 0.648111577
"12" 5225 "Sand flat" 64 "L*" 1.911961196 0.49657181 1.154952636 0.585875938
"13" 5235 "Sand flat" 54 "L" 3.415686658 0.387057516 1.369933919 0.798192125
"14" 5236 "Sand flat" 67 "L" 2.494011584 0.289508807 2.187548904 0.277689143
"15" 5238 "Sand flat" 66 "L" 2.731863216 0.426967122 1.239572929 0.479790806
"16" 5239 "Sand flat" 67 "L" 1.371077437 0.819350783 1.526595811 0.366993272
"17" 5249 "Sand flat" 64 "L" 2.507733794 0.396031705 1.273878452 0.523129574
"18" 5250 "Sand flat" 59 "R" 2.121224892 0.246097079 2.327058035 0.449584998
"19" 5256 "Sand flat" 56 "L" 1.604452647 0.548083563 1.617166327 0.305755621
"20" 5279 "Sand flat" 69 "L" 1.958845412 0.3906326 1.259012725 0.597695602
"21" 5977 "Eelgrass" 56 "L" 2.576344841 0.111703121 1.443119037 0.912011112
"22" 7444 "Marsh" 41 "R" 0.888909392 1.169537555 1.25116441 0.504225431
"23" 7445 "Marsh" 51 "L" 2.01426386 0.378713601 1.275104903 0.454027898
"24" 7458 "Marsh" 52 "L" 1.749733024 0.488967867 1.365393955 0.95877134
"25" 7516 "Marsh" 47 "R" 1.459961857 0.567781967 1.595171455 0.190659856
"26" 7518 "Marsh" 55 "L" 0.857795085 2.053691937 1.357823906 0.209059634
"27" 7529 "Marsh" 64 "L" 1.596350377 0.48015561 1.498007875 0.276011043
"28" 7530 "Marsh" 47 "L" 0.706350736 1.014885966 1.41910517 0.390997404
"29" 7532 "Marsh" 48 "L" 1.842206631 0.40296299 1.422535722 0.533417059
"30" 7533 "Marsh" 48 "R" 2.073904646 0.290012911 1.404396967 0.365710114
"31" 7534 "Marsh" 61 "L" 1.403095926 0.642712471 1.628368866 0.284255623
"32" 7535 "Marsh" 55 "L" 1.272734935 0.779222294 1.502581945 0.794544081
"33" 7536 "Marsh" 71 "L" 1.565603548 0.435802448 1.427156811 0.362804679
"34" 7542 "Marsh" 58 "L" 1.763303926 0.489348682 1.164100776 0.595287893
"35" 7543 "Marsh" 58 "L" 1.329910808 0.807677041 1.162957259 0.52612097
"36" 7544 "Marsh" 57 "L" 1.905100091 1.413387583 1.374507989 0.481687789
"37" 7546 "Marsh" 59 "L" 1.320762668 0.392164778 1.42367924 0.495331475
"38" 7547 "Marsh" 58 "L" 1.701795667 0.466603092 1.291479988 1.36493917
"39" 7548 "Marsh" 57 "L" 1.188209721 0.787553428 1.475724344 0.293321024
"40" 7549 "Marsh" 59 "R" 1.831914974 0.995186526 1.34706357 0.704875148
"41" 7550 "Marsh" 61 "L" 1.198183371 0.712256379 1.268795509 0.446145046
"42" 7559 "Marsh" 55 "L" 1.628368866 0.384722768 1.363072814 0.256603447
"43" 7565 "Marsh" 43 "L" 2.47342827 0.87407145 1.702697501 0.172187698
"44" 7569 "Marsh" 45 "L" 1.949191802 0.588065409 1.37453429 0.192088128
"45" 7570 "Marsh" 60 "R" 1.436599578 0.778545177 1.520491912 0.279953895
"46" 9585 "Eelgrass" 62 "L" 1.366475634 1.083289784 1.13149413 0.328287376
"47" 9639 "Marsh" 62 "L" 1.498007875 0.585000408 1.387086681 0.355173608
"48" 9640 "Marsh" 56 "L" 1.384799646 0.330002101 1.374507989 0.246170039
"49" 9882 "Marsh" 54 "L" 1.684401221 0.86750497 1.421392205 0.572670018
"50" 9883 "Marsh" 61 "L" 1.512873602 0.526485775 1.358498745 0.613455154
"51" 9884 "Marsh" 62 "R" 1.39393591 0.228741828 1.901297198 0.339572753
"52" 10119 "Marsh" 66 "L" 1.120248493 0.769747925 1.546928875 0.563204222
"53" 10120 "Marsh" 59 "L" 1.546035608 0.52115963 1.659243837 0.329856179
"54" 10121 "Marsh" 52 "L" 1.658151843 0.521631855 1.526656181 0.184917336
"55" 10122 "Marsh" 49 "L" 1.680970669 0.484314381 1.332197843 0.419233268
"56" 10297 "Marsh" 65 "L" 1.086903872 0.472388872 1.144439689 0.215273901
"57" 10319 "Marsh" 62 "R" 1.498546484 1.044429757 1.444933565 0.418197766
"58" 10320 "Marsh" 72 "R" 1.131651139 1.080740102 1.340757561 0.253795062
"59" 10321 "Marsh" 58 "R" 1.635847864 0.769215596 1.967986439 0.250301158
"60" 10332 "Marsh" 54 "L" 1.656956802 0.413104553 1.603211481 0.627609567
"61" 10354 "Marsh" 51 "L" 1.060155039 1.085658028 0.903950554 1.164455788
"62" 10374 "Sand flat" 63 "R" 2.716997489 0.265285792 1.368790402 0.598206329
"63" 10448 "Marsh" 68 "L" 2.060618466 0.467971142 1.411100548 0.547790354
"64" 10449 "Marsh" 67 "L" 1.65352625 0.493945218 1.373364472 0.647746772
"65" 10457 "Marsh" 72 "L" 1.584915202 1.783164127 1.353924675 0.368306568
"66" 10462 "Marsh" 62 "L" 1.905100091 0.52115963 1.252151621 0.581352363
"67" 10463 "Marsh" 64 "L" 2.217280358 0.448052819 1.805614072 0.506640413
"68" 10464 "Marsh" 68 "L" 2.502016206 0.413250475 1.430540345 0.476653488
"69" 10466 "Marsh" 62 "L" 1.99283145 0.337816067 1.998061979 0.121211343
"70" 10467 "Marsh" 77 "L" 2.305355543 0.273404242 1.485470163 0.501933139
"71" 10468 "Marsh" 66 "L" 1.476281043 0.855101619 0.873990396 0.534730355
"72" 10469 "Marsh" 74 "L" 1.455394622 0.463498975 1.373013795 0.429696075
"73" 10470 "Marsh" 64 "L" 0.930118773 0.74845476 1.469778576 0.537652423
"74" 10471 "Marsh" 86 "L" 1.724424332 0.248358866 1.631799418 0.206479316
"75" 10473 "Marsh" 66 "R" 1.833058491 0.46454198 1.27502197 0.344302435
"76" 10479 "Marsh" 56 "L" 1.452267176 0.656866883 1.231568306 0.786518383
"77" 10491 "Marsh" 75 "R" 1.718228692 0.35431827 1.503777013 0.367360334
"78" 10494 "Marsh" 72 "L" 1.016814787 4.105322266 0.753326902 1.548545445
"79" 11406 "Eelgrass" 92 "L" 1.85115922 0.807616877 1.3718031 0.593750347
"80" 11743 "Marsh" 69 "L" 2.253050255 0.387322676 1.628002071 0.375771134
"81" 11772 "Marsh" 72 "R" 2.565574348 0.223525003 1.391320645 0.176999436
"82" 11773 "Marsh" 74 "R" 1.982370393 0.224057332 1.055259174 0.335633518
"83" 11793 "Marsh" 59 "L" 0.730588801 1.188973241 1.655938493 0.597441186
"84" 12578 "Sand flat" 70 "L" 2.249298847 0.347804558 1.129909604 0.514884993
