"fish_code" "distance" "oto_sr8786" "river"
"1" "3065" 0 0.7093575 "Glenelg"
"2" "3065" 6.6 0.7101102 "Glenelg"
"3" "3065" 13.2 0.7100469 "Glenelg"
"4" "3065" 19.8 0.7095203 "Glenelg"
"5" "3065" 26.4 0.7099227 "Glenelg"
"6" "3065" 33 0.7102343 "Glenelg"
"7" "3065" 39.6 0.7098095 "Glenelg"
"8" "3065" 46.2 0.709704 "Glenelg"
"9" "3065" 52.8 0.709733 "Glenelg"
"10" "3065" 59.4 0.7102309 "Glenelg"
"11" "3065" 66 0.7100028 "Glenelg"
"12" "3065" 72.6 0.7101004 "Glenelg"
"13" "3065" 79.2 0.7095945 "Glenelg"
"14" "3065" 85.8 0.7092659 "Glenelg"
"15" "3065" 92.4 0.7092937 "Glenelg"
"16" "3065" 99 0.7099526 "Glenelg"
"17" "3065" 105.6 0.709899 "Glenelg"
"18" "3065" 112.2 0.7099701 "Glenelg"
"19" "3065" 118.8 0.709966 "Glenelg"
"20" "3065" 125.4 0.7102908 "Glenelg"
"21" "3065" 132 0.7099548 "Glenelg"
"22" "3065" 138.6 0.7101717 "Glenelg"
"23" "3065" 145.2 0.7106423 "Glenelg"
"24" "3065" 151.8 0.7098314 "Glenelg"
"25" "3065" 158.4 0.7093609 "Glenelg"
"26" "3065" 165 0.7099122 "Glenelg"
"27" "3065" 171.6 0.7099777 "Glenelg"
"28" "3065" 178.2 0.7101319 "Glenelg"
"29" "3065" 184.8 0.710203 "Glenelg"
"30" "3065" 191.4 0.7097519 "Glenelg"
"31" "3065" 198 0.7103067 "Glenelg"
"32" "3065" 204.6 0.7103978 "Glenelg"
"33" "3065" 211.2 0.7101705 "Glenelg"
"34" "3065" 217.8 0.7098999 "Glenelg"
"35" "3065" 224.4 0.7097302 "Glenelg"
"36" "3065" 231 0.7099394 "Glenelg"
"37" "3065" 237.6 0.7095597 "Glenelg"
"38" "3065" 244.2 0.7100395 "Glenelg"
"39" "3065" 250.8 0.7096393 "Glenelg"
"40" "3065" 257.4 0.7098795 "Glenelg"
"41" "3065" 264 0.7091591 "Glenelg"
"42" "3065" 270.6 0.7092074 "Glenelg"
"43" "3065" 277.2 0.7099597 "Glenelg"
"44" "3065" 283.8 0.710124 "Glenelg"
"45" "3065" 290.4 0.7090637 "Glenelg"
"46" "3065" 297 0.7091782 "Glenelg"
"47" "3065" 303.6 0.7096958 "Glenelg"
"48" "3065" 310.2 0.710104 "Glenelg"
"49" "3065" 316.8 0.7101562 "Glenelg"
"50" "3065" 323.4 0.7098099 "Glenelg"
"51" "3065" 330 0.7097832 "Glenelg"
"52" "3065" 336.6 0.7097138 "Glenelg"
"53" "3065" 343.2 0.7094464 "Glenelg"
"54" "3065" 349.8 0.7092513 "Glenelg"
"55" "3065" 356.4 0.7091448 "Glenelg"
"56" "3065" 363 0.7097276 "Glenelg"
"57" "3065" 369.6 0.7097951 "Glenelg"
"58" "3065" 376.2 0.7093318 "Glenelg"
"59" "3065" 382.8 0.7090648 "Glenelg"
"60" "3065" 389.4 0.7093777 "Glenelg"
"61" "3066" 0 0.7101886 "Glenelg"
"62" "3066" 6.6 0.7103396 "Glenelg"
"63" "3066" 13.2 0.710484 "Glenelg"
"64" "3066" 19.8 0.7099239 "Glenelg"
"65" "3066" 26.4 0.710307 "Glenelg"
"66" "3066" 33 0.7102357 "Glenelg"
"67" "3066" 39.6 0.710384 "Glenelg"
"68" "3066" 46.2 0.7103386 "Glenelg"
"69" "3066" 52.8 0.7103391 "Glenelg"
"70" "3066" 59.4 0.7101606 "Glenelg"
"71" "3066" 66 0.7102493 "Glenelg"
"72" "3066" 72.6 0.7102795 "Glenelg"
"73" "3066" 79.2 0.7108448 "Glenelg"
"74" "3066" 85.8 0.7102369 "Glenelg"
"75" "3066" 92.4 0.7102838 "Glenelg"
"76" "3066" 99 0.7107573 "Glenelg"
"77" "3066" 105.6 0.7104669 "Glenelg"
"78" "3066" 112.2 0.7098298 "Glenelg"
"79" "3066" 118.8 0.709862 "Glenelg"
"80" "3066" 125.4 0.7093317 "Glenelg"
"81" "3066" 132 0.7097236 "Glenelg"
"82" "3066" 138.6 0.710232 "Glenelg"
"83" "3066" 145.2 0.709819 "Glenelg"
"84" "3066" 151.8 0.7098964 "Glenelg"
"85" "3066" 158.4 0.7096445 "Glenelg"
"86" "3066" 165 0.7104132 "Glenelg"
"87" "3066" 171.6 0.7096284 "Glenelg"
"88" "3066" 178.2 0.7100787 "Glenelg"
"89" "3066" 184.8 0.7103139 "Glenelg"
"90" "3066" 191.4 0.7099052 "Glenelg"
"91" "3066" 198 0.7103498 "Glenelg"
"92" "3066" 204.6 0.7095131 "Glenelg"
"93" "3066" 211.2 0.7097078 "Glenelg"
"94" "3066" 217.8 0.7095748 "Glenelg"
"95" "3066" 224.4 0.710269 "Glenelg"
"96" "3066" 231 0.7102708 "Glenelg"
"97" "3066" 237.6 0.7101584 "Glenelg"
"98" "3066" 244.2 0.7104132 "Glenelg"
"99" "3066" 250.8 0.709812 "Glenelg"
"100" "3066" 257.4 0.7099742 "Glenelg"
"101" "3066" 264 0.709921 "Glenelg"
"102" "3066" 270.6 0.7095308 "Glenelg"
"103" "3066" 277.2 0.7098234 "Glenelg"
"104" "3066" 283.8 0.7100316 "Glenelg"
"105" "3066" 290.4 0.7101081 "Glenelg"
"106" "3066" 297 0.710591 "Glenelg"
"107" "3066" 303.6 0.7092964 "Glenelg"
"108" "3066" 310.2 0.709588 "Glenelg"
"109" "3066" 316.8 0.7091944 "Glenelg"
"110" "3066" 323.4 0.7089027 "Glenelg"
"111" "3066" 330 0.7094621 "Glenelg"
"112" "3066" 336.6 0.709196 "Glenelg"
"113" "3066" 343.2 0.7096561 "Glenelg"
"114" "3066" 349.8 0.7096541 "Glenelg"
"115" "3066" 356.4 0.7091507 "Glenelg"
"116" "3066" 363 0.7094153 "Glenelg"
"117" "3066" 369.6 0.7090134 "Glenelg"
"118" "3066" 376.2 0.7101469 "Glenelg"
"119" "3066" 382.8 0.7100614 "Glenelg"
"120" "3066" 389.4 0.7103229 "Glenelg"
"121" "3066" 396 0.709195 "Glenelg"
"122" "3066" 402.6 0.7097007 "Glenelg"
"123" "3066" 409.2 0.7096145 "Glenelg"
"124" "3066" 415.8 0.7091708 "Glenelg"
"125" "3066" 422.4 0.7100096 "Glenelg"
"126" "3067" 0 0.710661 "Glenelg"
"127" "3067" 6.6 0.7098463 "Glenelg"
"128" "3067" 13.2 0.7100755 "Glenelg"
"129" "3067" 19.8 0.7095049 "Glenelg"
"130" "3067" 26.4 0.7094072 "Glenelg"
"131" "3067" 33 0.7098268 "Glenelg"
"132" "3067" 39.6 0.7099233 "Glenelg"
"133" "3067" 46.2 0.7100095 "Glenelg"
"134" "3067" 52.8 0.7097695 "Glenelg"
"135" "3067" 59.4 0.7098828 "Glenelg"
"136" "3067" 66 0.7098643 "Glenelg"
"137" "3067" 72.6 0.7097023 "Glenelg"
"138" "3067" 79.2 0.7096923 "Glenelg"
"139" "3067" 85.8 0.7097671 "Glenelg"
"140" "3067" 92.4 0.710046 "Glenelg"
"141" "3067" 99 0.7098892 "Glenelg"
"142" "3067" 105.6 0.7096524 "Glenelg"
"143" "3067" 112.2 0.7101001 "Glenelg"
"144" "3067" 118.8 0.7096422 "Glenelg"
"145" "3067" 125.4 0.70983 "Glenelg"
"146" "3067" 132 0.7096125 "Glenelg"
"147" "3067" 138.6 0.7100225 "Glenelg"
"148" "3067" 145.2 0.7098028 "Glenelg"
"149" "3067" 151.8 0.7097899 "Glenelg"
"150" "3067" 158.4 0.7098289 "Glenelg"
"151" "3067" 165 0.709845 "Glenelg"
"152" "3067" 171.6 0.7093437 "Glenelg"
"153" "3067" 178.2 0.7096446 "Glenelg"
"154" "3067" 184.8 0.7097448 "Glenelg"
"155" "3067" 191.4 0.7092981 "Glenelg"
"156" "3067" 198 0.7096383 "Glenelg"
"157" "3067" 204.6 0.7095517 "Glenelg"
"158" "3067" 211.2 0.7094243 "Glenelg"
"159" "3067" 217.8 0.7093369 "Glenelg"
"160" "3067" 224.4 0.7091499 "Glenelg"
"161" "3067" 231 0.7096482 "Glenelg"
"162" "3067" 237.6 0.7096136 "Glenelg"
"163" "3067" 244.2 0.7094293 "Glenelg"
"164" "3067" 250.8 0.7092062 "Glenelg"
"165" "3067" 257.4 0.7090057 "Glenelg"
"166" "3067" 264 0.7096224 "Glenelg"
"167" "3067" 270.6 0.7095522 "Glenelg"
"168" "3067" 277.2 0.7091937 "Glenelg"
"169" "3067" 283.8 0.7097458 "Glenelg"
"170" "3067" 290.4 0.7100456 "Glenelg"
"171" "3067" 297 0.7097206 "Glenelg"
"172" "3067" 303.6 0.7089317 "Glenelg"
"173" "3067" 310.2 0.7097343 "Glenelg"
"174" "3067" 316.8 0.7099838 "Glenelg"
"175" "3067" 323.4 0.7096242 "Glenelg"
"176" "3067" 330 0.7097057 "Glenelg"
"177" "3067" 336.6 0.7095107 "Glenelg"
"178" "3067" 343.2 0.709438 "Glenelg"
"179" "3067" 349.8 0.7099967 "Glenelg"
"180" "3067" 356.4 0.7093613 "Glenelg"
"181" "3067" 363 0.7094045 "Glenelg"
"182" "3068" 0 0.7105028 "Glenelg"
"183" "3068" 6.6 0.7096157 "Glenelg"
"184" "3068" 13.2 0.7098439 "Glenelg"
"185" "3068" 19.8 0.7091627 "Glenelg"
"186" "3068" 26.4 0.7095263 "Glenelg"
"187" "3068" 33 0.709547 "Glenelg"
"188" "3068" 39.6 0.7091927 "Glenelg"
"189" "3068" 46.2 0.7096738 "Glenelg"
"190" "3068" 52.8 0.7093415 "Glenelg"
"191" "3068" 59.4 0.7095139 "Glenelg"
"192" "3068" 66 0.709535 "Glenelg"
"193" "3068" 72.6 0.709289 "Glenelg"
"194" "3068" 79.2 0.7093726 "Glenelg"
"195" "3068" 85.8 0.7098017 "Glenelg"
"196" "3068" 92.4 0.7098872 "Glenelg"
"197" "3068" 99 0.7095725 "Glenelg"
"198" "3068" 105.6 0.7096568 "Glenelg"
"199" "3068" 112.2 0.7099375 "Glenelg"
"200" "3068" 118.8 0.7096478 "Glenelg"
"201" "3068" 125.4 0.7094537 "Glenelg"
"202" "3068" 132 0.7096803 "Glenelg"
"203" "3068" 138.6 0.7096226 "Glenelg"
"204" "3068" 145.2 0.7105257 "Glenelg"
"205" "3068" 151.8 0.7104823 "Glenelg"
"206" "3068" 158.4 0.7100509 "Glenelg"
"207" "3068" 165 0.7098297 "Glenelg"
"208" "3068" 171.6 0.7098207 "Glenelg"
"209" "3068" 178.2 0.7101843 "Glenelg"
"210" "3068" 184.8 0.7101652 "Glenelg"
"211" "3068" 191.4 0.7099865 "Glenelg"
"212" "3068" 198 0.710142 "Glenelg"
"213" "3068" 204.6 0.7098528 "Glenelg"
"214" "3068" 211.2 0.7098535 "Glenelg"
"215" "3068" 217.8 0.7097037 "Glenelg"
"216" "3068" 224.4 0.7097554 "Glenelg"
"217" "3068" 231 0.7094122 "Glenelg"
"218" "3068" 237.6 0.7104623 "Glenelg"
"219" "3068" 244.2 0.7100706 "Glenelg"
"220" "3068" 250.8 0.7098388 "Glenelg"
"221" "3068" 257.4 0.7100134 "Glenelg"
"222" "3068" 264 0.7100049 "Glenelg"
"223" "3068" 270.6 0.7096922 "Glenelg"
"224" "3068" 277.2 0.7094487 "Glenelg"
"225" "3068" 283.8 0.71036 "Glenelg"
"226" "3068" 290.4 0.7101891 "Glenelg"
"227" "3068" 297 0.709262 "Glenelg"
"228" "3068" 303.6 0.710116 "Glenelg"
"229" "3068" 310.2 0.7097587 "Glenelg"
"230" "3068" 316.8 0.7096278 "Glenelg"
"231" "3068" 323.4 0.7089622 "Glenelg"
"232" "3068" 330 0.7091646 "Glenelg"
"233" "3068" 336.6 0.7092954 "Glenelg"
"234" "3068" 343.2 0.7099328 "Glenelg"
"235" "3068" 349.8 0.709625 "Glenelg"
"236" "3068" 356.4 0.7095747 "Glenelg"
"237" "3068" 363 0.7092279 "Glenelg"
"238" "3068" 369.6 0.7094832 "Glenelg"
"239" "3068" 376.2 0.7092772 "Glenelg"
"240" "3068" 382.8 0.7095204 "Glenelg"
"241" "3068" 389.4 0.7090462 "Glenelg"
"242" "3068" 396 0.7098142 "Glenelg"
"243" "3068" 402.6 0.7099858 "Glenelg"
"244" "3068" 409.2 0.7092201 "Glenelg"
"245" "3068" 415.8 0.7099352 "Glenelg"
"246" "3069" 0 0.7093185 "Glenelg"
"247" "3069" 6.6 0.7095163 "Glenelg"
"248" "3069" 13.2 0.709733 "Glenelg"
