"id" "lake" "stocking" "ecotype" "sex" "maturity" "origin" "analysis" "material" "date" "d18ovsmow_oto" "d18ovpdb_oto" "corrected_d18ovpdb_oto" "distance_oto" "age" "age_int" "tl" "weight"
"1" "Louisa2012-02SD" "louisa" "O" "P" "female" "immature" "L" "A-0@1" "LOU-02" "17-11-28" 21.94811771 -8.700106343 -7.700106343 0 0 0 447 840
"2" "Louisa2012-02SD" "louisa" "O" "P" "female" "immature" "L" "A-0@2" "LOU-02" "17-11-28" 23.55357099 -7.142800605 -6.142800605 105.6929231 0.6004495 0 447 840
"3" "Louisa2012-02SD" "louisa" "O" "P" "female" "immature" "L" "A-0@3" "LOU-02" "17-11-28" 21.30733374 -9.321673197 -8.321673197 211.3858462 1.26865685 1 447 840
"4" "Louisa2012-02SD" "louisa" "O" "P" "female" "immature" "L" "A-0@4" "LOU-02" "17-11-28" 21.27339814 -9.354591068 -8.354591068 317.0787692 1.95790219 1 447 840
"5" "Louisa2012-02SD" "louisa" "O" "P" "female" "immature" "L" "A-0@5" "LOU-02" "17-11-28" 22.1931527 -8.462419953 -7.462419953 422.7716923 2.68122252 2 447 840
"6" "Louisa2012-02SD" "louisa" "O" "P" "female" "immature" "L" "A-0@6" "LOU-02" "17-11-28" 23.10342524 -7.579446479 -6.579446479 528.4646154 3.42817705 3 447 840
"7" "Louisa2012-02SD" "louisa" "O" "P" "female" "immature" "L" "A-0@7" "LOU-02" "17-11-28" 21.92216695 -8.725278833 -7.725278833 634.1575385 4.20202172 4 447 840
"8" "Louisa2012-02SD" "louisa" "O" "P" "female" "immature" "L" "A-0@8" "LOU-02" "17-11-28" 22.62233822 -8.046105706 -7.046105706 739.8504615 5.00628986 5 447 840
"9" "Louisa2012-02SD" "louisa" "O" "P" "female" "immature" "L" "A-0@9" "LOU-02" "17-11-28" 22.63581265 -8.033035375 -7.033035375 845.5433846 5.85257486 5 447 840
"10" "Louisa2012-02SD" "louisa" "O" "P" "female" "immature" "L" "A-1@0" "LOU-02" "17-11-28" 22.35384774 -8.306544154 -7.306544154 951.2363077 6.73565772 6 447 840
"11" "Louisa2012-02SD" "louisa" "O" "P" "female" "immature" "L" "A-1@1" "LOU-02" "17-11-28" 22.3044415 -8.354468701 -7.354468701 1056.929231 7.6594911 7 447 840
"12" "Louisa2012-02SD" "louisa" "O" "P" "female" "immature" "L" "A-1@2" "LOU-02" "17-11-28" 22.28897086 -8.369475377 -7.369475377 1162.622154 8.62869052 8 447 840
"13" "Louisa2012-02SD" "louisa" "O" "P" "female" "immature" "L" "A-1@3" "LOU-02" "17-11-28" 23.81058325 -6.893496143 -5.893496143 1268.315077 9.64824456 9 447 840
"14" "Louisa2012-02SD" "louisa" "O" "P" "female" "immature" "L" "A-1@4" "LOU-02" "17-11-28" 23.80758893 -6.896400661 -5.896400661 1374.008 10.72354139 10 447 840
"15" "Louisa2012-06SD" "louisa" "O" "P" "female" "immature" "E" "B-0@1" "LOU-06" "17-11-28" 21.25942466 -9.368145485 -8.368145485 0 0 0 475 720
"16" "Louisa2012-06SD" "louisa" "O" "P" "female" "immature" "E" "B-0@2" "LOU-06" "17-11-28" 22.01399269 -8.636206947 -7.636206947 117.8909231 0.53200803 0 475 720
"17" "Louisa2012-06SD" "louisa" "O" "P" "female" "immature" "E" "B-0@3" "LOU-06" "17-11-28" 21.16959513 -9.455281025 -8.455281025 235.7818462 1.20845548 1 475 720
"18" "Louisa2012-06SD" "louisa" "O" "P" "female" "immature" "E" "B-0@4" "LOU-06" "17-11-28" 22.76007683 -7.912497877 -6.912497877 353.6727692 1.9164394 1 475 720
"19" "Louisa2012-06SD" "louisa" "O" "P" "female" "immature" "E" "B-0@5" "LOU-06" "17-11-28" 21.93713854 -8.710756243 -7.710756243 471.5636923 2.66650119 2 475 720
"20" "Louisa2012-06SD" "louisa" "O" "P" "female" "immature" "E" "B-0@6" "LOU-06" "17-11-28" 21.70957041 -8.931499611 -7.931499611 589.4546154 3.45064415 3 475 720
"21" "Louisa2012-06SD" "louisa" "O" "P" "female" "immature" "E" "B-0@7" "LOU-06" "17-11-28" 21.27289909 -9.355075154 -8.355075154 707.3455385 4.27459648 4 475 720
