"region_id" "fish_id" "year_class" "station_id" "age_range" "d13c" "d18o"
"1" "JP" "2015_9_HH_T9_1R" 2015 "2015_T9" "B" -6.929589508 -0.239773619
"2" "JP" "2015_9_HH_T9_1R" 2015 "2015_T9" "C" -7.903177871 -0.147615101
"3" "JP" "2015_9_HH_T9_1R" 2015 "2015_T9" "D" -7.769855971 -0.02693724
"4" "JP" "2015_9_HH_T9_1R" 2015 "2015_T9" "E" -6.468968409 -0.112654627
"5" "JP" "2015_9_HH_T9_1R" 2015 "2015_T9" "F" -5.755767854 0.153891496
"6" "JP" "2015_9_HH_T9_1R" 2015 "2015_T9" "G" -5.30963764 0.293669045
"7" "JP" "2015_9_HH_T9_10L" 2015 "2015_T9" "A" -7.598390144 -0.266035092
"8" "JP" "2015_9_HH_T9_10L" 2015 "2015_T9" "B" -8.56694227 -0.201264401
"9" "JP" "2015_9_HH_T9_10L" 2015 "2015_T9" "C" -8.855096237 -0.171686344
"10" "JP" "2015_9_HH_T9_10L" 2015 "2015_T9" "D" -7.316688593 0.12302894
"11" "JP" "2015_9_HH_T9_10L" 2015 "2015_T9" "E" -6.721883867 0.180585224
"12" "JP" "2015_9_HH_T9_10L" 2015 "2015_T9" "G" -5.981088088 0.056898096
"13" "JP" "2015_9_HH_T9_3L" 2015 "2015_T9" "A" -8.471586263 -0.505431436
"14" "JP" "2015_9_HH_T9_3L" 2015 "2015_T9" "B" -8.178461092 -0.217446035
"15" "JP" "2015_9_HH_T9_3L" 2015 "2015_T9" "C" -9.061154474 -0.474175284
"16" "JP" "2015_9_HH_T9_3L" 2015 "2015_T9" "D" -7.836547472 -0.405265647
"17" "JP" "2015_9_HH_T9_3L" 2015 "2015_T9" "E" -6.921347344 0.048572127
"18" "JP" "2015_9_HH_T9_3L" 2015 "2015_T9" "F" -6.236974814 0.078535852
"19" "JP" "2015_9_HH_T9_3L" 2015 "2015_T9" "G" -5.818186867 0.173502533
"20" "JP" "2015_9_HH_T9_2R" 2015 "2015_T9" "A" -8.702390816 -0.809948911
"21" "JP" "2015_9_HH_T9_2R" 2015 "2015_T9" "C" -9.381932424 -0.448694731
"22" "JP" "2015_9_HH_T9_2R" 2015 "2015_T9" "D" -8.365288499 -0.376252848
"23" "JP" "2015_9_HH_T9_2R" 2015 "2015_T9" "E" -7.299837717 -0.064929679
"24" "JP" "2015_9_HH_T9_2R" 2015 "2015_T9" "F" -6.44106773 -0.088956845
"25" "JP" "2015_9_HH_T9_2R" 2015 "2015_T9" "G" -5.916769856 -0.158614116
"26" "JP" "2009_9_HH_T8_2L" 2009 "2009_T8" "A" -6.501996802 -0.361778684
"27" "JP" "2009_9_HH_T8_2L" 2009 "2009_T8" "B" -8.768606259 -0.3934789
"28" "JP" "2009_9_HH_T8_2L" 2009 "2009_T8" "C" -8.269788324 -0.353610169
"29" "JP" "2009_9_HH_T8_2L" 2009 "2009_T8" "D" -8.058098995 -0.359789831
"30" "JP" "2009_9_HH_T8_2L" 2009 "2009_T8" "E" -7.211515737 -0.072248848
"31" "JP" "2009_9_HH_T8_2L" 2009 "2009_T8" "G" -4.927808831 -0.01528126
"32" "JP" "2009_9_HH_T8_1R" 2009 "2009_T8" "A" -6.398361407 -0.25646506
"33" "JP" "2009_9_HH_T8_1R" 2009 "2009_T8" "B" -7.280508518 -0.0076012
"34" "JP" "2009_9_HH_T8_1R" 2009 "2009_T8" "C" -7.604493972 0.133667407
"35" "JP" "2009_9_HH_T8_1R" 2009 "2009_T8" "D" -7.341839082 0.032063009
"36" "JP" "2009_9_HH_T8_1R" 2009 "2009_T8" "E" -6.763933456 0.158041047
"37" "JP" "2009_9_HH_T8_1R" 2009 "2009_T8" "F" -6.732545242 0.068981746
"38" "JP" "2009_9_HH_T8_1R" 2009 "2009_T8" "G" -5.748999121 0.04367021
"39" "JP" "2014_9_HH_T9_1R" 2014 "2014_T9" "A" -6.25484876 -0.423090748
"40" "JP" "2014_9_HH_T9_1R" 2014 "2014_T9" "B" -6.74707853 0.084161919
"41" "JP" "2014_9_HH_T9_1R" 2014 "2014_T9" "C" -8.450929413 -0.232524114
"42" "JP" "2014_9_HH_T9_1R" 2014 "2014_T9" "D" -8.572694246 -0.3212088
"43" "JP" "2014_9_HH_T9_1R" 2014 "2014_T9" "E" -7.929535926 -0.609075264
"44" "JP" "2014_9_HH_T9_1R" 2014 "2014_T9" "F" -7.125042321 -0.155675009
"45" "JP" "2014_9_HH_T9_1R" 2014 "2014_T9" "G" -6.292519694 -0.094140233
"46" "JP" "2014_9_HH_T9_2R" 2014 "2014_T9" "A" -6.779118088 -0.54733163
"47" "JP" "2014_9_HH_T9_2R" 2014 "2014_T9" "B" -7.191153028 -0.204882934
"48" "JP" "2014_9_HH_T9_2R" 2014 "2014_T9" "C" -8.193617179 -0.185062892
"49" "JP" "2014_9_HH_T9_2R" 2014 "2014_T9" "D" -7.982439087 -0.140645549
"50" "JP" "2014_9_HH_T9_2R" 2014 "2014_T9" "E" -7.135684639 -0.096780071
"51" "JP" "2014_9_HH_T9_2R" 2014 "2014_T9" "F" -6.415035747 0.125759983
"52" "JP" "2014_9_HH_T9_2R" 2014 "2014_T9" "G" -6.104531696 0.034732119
"53" "JP" "2014_9_HH_T9_3L" 2014 "2014_T9" "A" -5.591041121 0.473550564
"54" "JP" "2014_9_HH_T9_3L" 2014 "2014_T9" "B" -6.750019362 0.294205513
"55" "JP" "2014_9_HH_T9_3L" 2014 "2014_T9" "C" -7.604870152 0.129509985
"56" "JP" "2014_9_HH_T9_3L" 2014 "2014_T9" "D" -7.993301342 0.018885745
"57" "JP" "2014_9_HH_T9_3L" 2014 "2014_T9" "E" -8.247909762 -0.26170168
