"Sample_ID" "ASN" "Natal_region" "Otolith_radius_um" "Otolith_87Sr86Sr" "SE2" "SrV" "Outmigration_year" "Capture_FL_cm" "Capture_Age" "Sex" "CWT_no"
"1" "SR11234" 11234 "" 30.68 0.708171716 3e-04 3.44802 2000 58 2 "F" NA
"2" "SR11234" 11234 "" 75.31 0.708031722 0.000178 3.02852 2000 58 2 "F" NA
"3" "SR11234" 11234 "" 125.06 0.707892729 0.000108 3.29743 2000 58 2 "F" NA
"4" "SR11234" 11234 "" 177.13 0.707317757 8.8e-05 3.98453 2000 58 2 "F" NA
"5" "SR11234" 11234 "" 229.19 0.707161764 0.000116 3.36635 2000 58 2 "F" NA
"6" "SR11234" 11234 "" 276.15 0.70725576 7e-05 3.78862 2000 58 2 "F" NA
"7" "SR11234" 11234 "y" 324.03 0.707408752 7.8e-05 3.87096 2000 58 2 "F" NA
"8" "SR11234" 11234 "y" 375.64 0.707593743 0.000188 4.012 2000 58 2 "F" NA
"9" "SR11234" 11234 "y" 423.06 0.707573744 0.000196 3.83821 2000 58 2 "F" NA
"10" "SR11234" 11234 "" 470.48 0.708672691 0.00017 3.78275 2000 58 2 "F" NA
"11" "SR11234" 11234 "" 521.15 0.709066672 9.2e-05 3.84951 2000 58 2 "F" NA
"12" "SR11234" 11234 "" 570.89 0.709204666 7.6e-05 3.92572 2000 58 2 "F" NA
"13" "SR11234" 11234 "" 620.17 0.709258663 8.6e-05 3.8281 2000 58 2 "F" NA
"14" "SR11234" 11234 "" 675.03 0.709257663 7.6e-05 3.91877 2000 58 2 "F" NA
"15" "SR11234" 11234 "" 721.06 0.709236664 8e-05 4.09937 2000 58 2 "F" NA
"16" "SR11234" 11234 "" 773.12 0.709293661 0.000114 3.75575 2000 58 2 "F" NA
"17" "SR11234" 11234 "" 822.87 0.709257663 8.4e-05 3.86244 2000 58 2 "F" NA
"18" "SR11239" 11239 "" 13.48 0.708140717 0.00026 2.73457 2000 59 2 "F" NA
"19" "SR11239" 11239 "" 59.97 0.708270711 2e-04 3.0862 2000 59 2 "F" NA
"20" "SR11239" 11239 "" 110.18 0.708217713 8.2e-05 3.40765 2000 59 2 "F" NA
"21" "SR11239" 11239 "" 159 0.707826732 0.00011 3.28978 2000 59 2 "F" NA
"22" "SR11239" 11239 "" 206.88 0.707478749 0.000104 3.36319 2000 59 2 "F" NA
"23" "SR11239" 11239 "" 241.28 0.706646789 0.00011 2.7016 2000 59 2 "F" NA
"24" "SR11239" 11239 "y" 257.55 0.706569793 0.000104 2.82946 2000 59 2 "F" NA
"25" "SR11239" 11239 "y" 303.11 0.706501796 9e-05 2.78674 2000 59 2 "F" NA
"26" "SR11239" 11239 "y" 360.3 0.706552794 8.4e-05 3.21615 2000 59 2 "F" NA
"27" "SR11239" 11239 "y" 403.53 0.706527795 0.000106 3.26328 2000 59 2 "F" NA
"28" "SR11239" 11239 "" 433.29 0.706663789 0.00011 2.84412 2000 59 2 "F" NA
"29" "SR11239" 11239 "" 458.86 0.706914776 0.00014 2.70984 2000 59 2 "F" NA
"30" "SR11239" 11239 "" 509.06 0.706938775 0.000102 3.19834 2000 59 2 "F" NA
"31" "SR11239" 11239 "" 530.91 0.706991773 0.000108 3.50986 2000 59 2 "F" NA
"32" "SR11239" 11239 "" 561.13 0.707653741 0.00026 3.30586 2000 59 2 "F" NA
"33" "SR11239" 11239 "" 586.7 0.708524698 0.000136 3.64403 2000 59 2 "F" NA
"34" "SR11239" 11239 "" 610.41 0.708801685 0.00011 3.5925 2000 59 2 "F" NA
"35" "SR11239" 11239 "" 659.69 0.709016675 8e-05 3.97568 2000 59 2 "F" NA
"36" "SR11239" 11239 "" 709.44 0.709091671 9.4e-05 3.91425 2000 59 2 "F" NA
"37" "SR11239" 11239 "" 759.18 0.709199666 8.8e-05 4.26188 2000 59 2 "F" NA
"38" "SR11239" 11239 "" 808.46 0.709181667 9.8e-05 4.42637 2000 59 2 "F" NA
"39" "SR11242" 11242 "" 11.85 0.708246727 0.00011838 2.900841382 1999 81 3 "F" NA
"40" "SR11242" 11242 "" 44.01 0.708213143 9.08e-05 3.265639952 1999 81 3 "F" NA
"41" "SR11242" 11242 "" 79.9 0.707905889 0.000105946 3.22476112 1999 81 3 "F" NA
"42" "SR11242" 11242 "" 117.14 0.70803065 0.000126374 3.638026052 1999 81 3 "F" NA
"43" "SR11242" 11242 "" 154.38 0.707442916 0.000122087 3.840095584 1999 81 3 "F" NA
"44" "SR11242" 11242 "" 190.6 0.707098805 7.8e-05 4.358957902 1999 81 3 "F" NA
"45" "SR11242" 11242 "" 228.18 0.706755158 9.28e-05 3.659692604 1999 81 3 "F" NA
"46" "SR11242" 11242 "y" 262.72 0.70656309 5.32e-05 3.672914231 1999 81 3 "F" NA
"47" "SR11242" 11242 "y" 298.94 0.7066216 0.000116773 3.545771801 1999 81 3 "F" NA
"48" "SR11242" 11242 "y" 336.52 0.706532162 0.00014127 3.593443286 1999 81 3 "F" NA
"49" "SR11242" 11242 "y" 390.01 0.706523296 7.66e-05 3.658943503 1999 81 3 "F" NA
"50" "SR11242" 11242 "y" 430.3 0.706557983 0.000134127 3.579327067 1999 81 3 "F" NA
"51" "SR11242" 11242 "" 459.41 0.706731696 7.86e-05 3.183831416 1999 81 3 "F" NA
"52" "SR11242" 11242 "" 472.28 0.70666053 8.99e-05 3.606476589 1999 81 3 "F" NA
"53" "SR11242" 11242 "" 492.59 0.706930444 0.000114267 3.823889888 1999 81 3 "F" NA
"54" "SR11242" 11242 "" 503.76 0.707283206 0.000123242 4.905730637 1999 81 3 "F" NA
"55" "SR11242" 11242 "" 543.37 0.708777837 7.02e-05 6.20875937 1999 81 3 "F" NA
"56" "SR11242" 11242 "" 589.42 0.708959926 7.9e-05 5.194176723 1999 81 3 "F" NA
"57" "SR11242" 11242 "" 628.01 0.709046552 9.35e-05 5.215879139 1999 81 3 "F" NA
"58" "SR11242" 11242 "" 674.73 0.709001694 9.53e-05 5.239636943 1999 81 3 "F" NA
"59" "SR11242" 11242 "" 721.45 0.709081881 9.41e-05 5.835979954 1999 81 3 "F" NA
"60" "SR11242" 11242 "" 760.05 0.709118045 0.000100005 5.454028794 1999 81 3 "F" NA
"61" "SR11246" 11246 "" 11.51 0.708518424 0.000205779 2.781902472 1999 69 3 "F" NA
"62" "SR11246" 11246 "" 49.43 0.708570256 0.000105756 4.038893268 1999 69 3 "F" NA
"63" "SR11246" 11246 "" 79.22 0.708273198 0.000163391 3.438864516 1999 69 3 "F" NA
"64" "SR11246" 11246 "" 115.78 0.707878326 0.000197461 3.88352967 1999 69 3 "F" NA
"65" "SR11246" 11246 "" 157.09 0.707355238 0.000139954 3.512982553 1999 69 3 "F" NA
"66" "SR11246" 11246 "" 200.08 0.706903891 0.00015358 2.851467714 1999 69 3 "F" NA
"67" "SR11246" 11246 "y" 240.37 0.706499419 8.83e-05 2.850984129 1999 69 3 "F" NA
"68" "SR11246" 11246 "y" 283.37 0.706469297 0.00011942 2.715975842 1999 69 3 "F" NA
"69" "SR11246" 11246 "y" 321.96 0.70642734 9.71e-05 2.782588564 1999 69 3 "F" NA
"70" "SR11246" 11246 "y" 367.67 0.706502274 0.000126609 2.750552877 1999 69 3 "F" NA
"71" "SR11246" 11246 "y" 408.29 0.706464763 0.00016701 2.831853019 1999 69 3 "F" NA
"72" "SR11246" 11246 "" 433.01 0.70662645 0.000133801 2.957867919 1999 69 3 "F" NA
"73" "SR11246" 11246 "" 450.61 0.706483366 9.06e-05 3.021847322 1999 69 3 "F" NA
"74" "SR11246" 11246 "" 475.66 0.706710081 0.000105965 3.224580377 1999 69 3 "F" NA
"75" "SR11246" 11246 "" 489.21 0.707755739 0.000197974 4.274538138 1999 69 3 "F" NA
"76" "SR11246" 11246 "" 524.75 0.708767271 7.65e-05 5.408215562 1999 69 3 "F" NA
"77" "SR11246" 11246 "" 562.67 0.708906047 0.000110716 4.751354439 1999 69 3 "F" NA
"78" "SR11246" 11246 "" 604.65 0.709034547 6.99e-05 4.593975137 1999 69 3 "F" NA
"79" "SR11246" 11246 "" 650.69 0.709108426 0.000132809 4.563785433 1999 69 3 "F" NA
"80" "SR11246" 11246 "" 689.63 0.708987773 0.00016313 5.089217272 1999 69 3 "F" NA
"81" "SR11246" 11246 "" 732.28 0.709135122 0.000122157 5.086333041 1999 69 3 "F" NA
"82" "SR11246" 11246 "" 782.39 0.709102031 8.85e-05 4.988384607 1999 69 3 "F" NA
"83" "SR11247" 11247 "" 13.88 0.708778275 0.000162547 2.792357063 1999 77 3 "F" NA
"84" "SR11247" 11247 "" 35.55 0.708580013 0.000140393 3.441122314 1999 77 3 "F" NA
"85" "SR11247" 11247 "" 69.74 0.708379332 0.000141426 2.936008986 1999 77 3 "F" NA
"86" "SR11247" 11247 "" 105.63 0.708361437 0.000128197 3.42145833 1999 77 3 "F" NA
"87" "SR11247" 11247 "" 143.21 0.707994027 7.61e-05 3.565280399 1999 77 3 "F" NA
"88" "SR11247" 11247 "" 177.06 0.707573751 0.000150217 3.552801796 1999 77 3 "F" NA
"89" "SR11247" 11247 "" 214.64 0.707556976 0.000135701 3.579799169 1999 77 3 "F" NA
"90" "SR11247" 11247 "y" 253.57 0.707343577 0.000142151 4.36074572 1999 77 3 "F" NA
"91" "SR11247" 11247 "y" 293.18 0.707260928 0.000141119 4.582104616 1999 77 3 "F" NA
"92" "SR11247" 11247 "y" 330.09 0.707349593 8.05e-05 4.573659017 1999 77 3 "F" NA
"93" "SR11247" 11247 "y" 365.63 0.707328012 0.000124676 4.310194761 1999 77 3 "F" NA
"94" "SR11247" 11247 "y" 404.91 0.707247387 5.71e-05 4.391219779 1999 77 3 "F" NA
"95" "SR11247" 11247 "" 444.86 0.707094087 0.000161023 3.912872224 1999 77 3 "F" NA
"96" "SR11247" 11247 "" 484.47 0.707302828 0.000147941 4.038417603 1999 77 3 "F" NA
"97" "SR11247" 11247 "" 524.41 0.707602675 0.000179107 4.389839608 1999 77 3 "F" NA
"98" "SR11247" 11247 "" 559.96 0.708603804 0.000130613 4.922501371 1999 77 3 "F" NA
"99" "SR11247" 11247 "" 604.65 0.708877677 6.46e-05 5.017238103 1999 77 3 "F" NA
"100" "SR11247" 11247 "" 646.63 0.708950868 0.000119601 4.940236688 1999 77 3 "F" NA
"101" "SR11247" 11247 "" 686.58 0.708970221 8.71e-05 4.974445657 1999 77 3 "F" NA
"102" "SR11247" 11247 "" 720.77 0.709111967 0.000108066 5.160375848 1999 77 3 "F" NA
"103" "SR11250" 11250 "" 3.55 0.708362329 0.000134209 3.333700904 1999 78 3 "F" NA
"104" "SR11250" 11250 "" 19.97 0.708285599 0.00011085 3.638572929 1999 78 3 "F" NA
"105" "SR11250" 11250 "" 55.52 0.70809397 0.000141489 3.182654443 1999 78 3 "F" NA
"106" "SR11250" 11250 "" 105.29 0.707996942 6.97e-05 3.635236569 1999 78 3 "F" NA
"107" "SR11250" 11250 "" 145.58 0.7075798 0.000102758 3.646070619 1999 78 3 "F" NA
"108" "SR11250" 11250 "" 184.51 0.707439237 9.28e-05 3.625790168 1999 78 3 "F" NA
"109" "SR11250" 11250 "" 232.25 0.706913645 8.6e-05 2.99917789 1999 78 3 "F" NA
"110" "SR11250" 11250 "y" 269.82 0.706680237 8.97e-05 2.955743577 1999 78 3 "F" NA
"111" "SR11250" 11250 "y" 313.84 0.706515483 0.000118811 2.983073154 1999 78 3 "F" NA
"112" "SR11250" 11250 "y" 352.43 0.706608127 0.000136586 3.035069187 1999 78 3 "F" NA
"113" "SR11250" 11250 "y" 394.07 0.706585442 5.29e-05 2.951498936 1999 78 3 "F" NA
"114" "SR11250" 11250 "y" 418.79 0.706683363 9.38e-05 2.78575548 1999 78 3 "F" NA
"115" "SR11250" 11250 "y" 436.73 0.706589605 7.16e-05 3.305494247 1999 78 3 "F" NA
"116" "SR11250" 11250 "y" 461.11 0.706553958 0.000122342 3.267868462 1999 78 3 "F" NA
"117" "SR11250" 11250 "" 484.13 0.707215822 0.000172903 3.787251587 1999 78 3 "F" NA
"118" "SR11250" 11250 "" 523.06 0.708380088 0.000134087 4.781553926 1999 78 3 "F" NA
"119" "SR11250" 11250 "" 567.41 0.708830957 8.69e-05 5.190698145 1999 78 3 "F" NA
"120" "SR11250" 11250 "" 621.24 0.709058828 7.37e-05 4.907379277 1999 78 3 "F" NA
"121" "SR11250" 11250 "" 663.22 0.709018246 0.000101477 4.967488358 1999 78 3 "F" NA
"122" "SR11250" 11250 "" 679.47 0.709181247 8.15e-05 5.100906665 1999 78 3 "F" NA
"123" "SR11250" 11250 "" 709.6 0.709132196 6.25e-05 5.054537324 1999 78 3 "F" NA
"124" "SR11250" 11250 "" 733.98 0.709287667 0.000121527 4.816656759 1999 78 3 "F" NA
"125" "SR11258" 11258 "" 8.8 0.708444552 0.000143656 2.645076806 1999 78 3 "F" NA
"126" "SR11258" 11258 "" 43 0.708515178 0.000125511 3.540737302 1999 78 3 "F" NA
"127" "SR11258" 11258 "" 76.85 0.708274452 9.8e-05 3.314085747 1999 78 3 "F" NA
"128" "SR11258" 11258 "" 109.35 0.70809223 0.000146665 3.383601621 1999 78 3 "F" NA
"129" "SR11258" 11258 "" 153.7 0.707690667 0.000117061 3.444463929 1999 78 3 "F" NA
"130" "SR11258" 11258 "" 191.62 0.707248108 0.000134846 3.861572039 1999 78 3 "F" NA
"131" "SR11258" 11258 "y" 231.57 0.707054387 0.000129985 3.661699557 1999 78 3 "F" NA
"132" "SR11258" 11258 "y" 272.19 0.707061491 0.000103049 3.620372721 1999 78 3 "F" NA
"133" "SR11258" 11258 "y" 311.13 0.70719993 0.000100848 3.718816561 1999 78 3 "F" NA
"134" "SR11258" 11258 "y" 349.05 0.707191974 0.000126808 3.527285892 1999 78 3 "F" NA
"135" "SR11258" 11258 "y" 386.96 0.707185761 9.92e-05 3.639349333 1999 78 3 "F" NA
"136" "SR11258" 11258 "y" 428.6 0.707199078 0.000145606 3.394859931 1999 78 3 "F" NA
"137" "SR11258" 11258 "y" 468.22 0.707227361 0.000157542 3.089896461 1999 78 3 "F" NA
"138" "SR11258" 11258 "" 514.26 0.707091262 0.000113683 3.600554676 1999 78 3 "F" NA
"139" "SR11258" 11258 "" 560.98 0.708382823 8.35e-05 4.253122021 1999 78 3 "F" NA
"140" "SR11258" 11258 "" 594.16 0.708887544 7.46e-05 4.57544896 1999 78 3 "F" NA
"141" "SR11258" 11258 "" 632.07 0.708928041 7.78e-05 5.024166264 1999 78 3 "F" NA
"142" "SR11258" 11258 "" 674.73 0.709062981 5.15e-05 4.504069056 1999 78 3 "F" NA
"143" "SR11258" 11258 "" 712.65 0.709115926 6.35e-05 4.40680187 1999 78 3 "F" NA
"144" "SR11258" 11258 "" 754.63 0.709144611 9.72e-05 4.610571305 1999 78 3 "F" NA
"145" "SR11262" 11262 "" 22.34 0.708711938 9.04e-05 3.821493854 1999 98 3 "F" NA
"146" "SR11262" 11262 "" 58.23 0.70900804 0.000121201 4.744647251 1999 98 3 "F" NA
"147" "SR11262" 11262 "" 89.38 0.708660573 7.03e-05 4.125184198 1999 98 3 "F" NA
"148" "SR11262" 11262 "" 130.68 0.708519469 8.94e-05 4.713798169 1999 98 3 "F" NA
"149" "SR11262" 11262 "" 168.94 0.707753263 0.000130657 4.137574001 1999 98 3 "F" NA
"150" "SR11262" 11262 "" 209.9 0.707555412 0.000117996 3.879386924 1999 98 3 "F" NA
"151" "SR11262" 11262 "" 248.5 0.707044385 0.000129876 2.677888234 1999 98 3 "F" NA
"152" "SR11262" 11262 "" 294.88 0.706743272 0.000133368 2.543155133 1999 98 3 "F" NA
"153" "SR11262" 11262 "" 333.47 0.706930376 0.000180292 2.272487742 1999 98 3 "F" NA
"154" "SR11262" 11262 "y" 376.13 0.706725169 0.000135667 2.42573008 1999 98 3 "F" NA
"155" "SR11262" 11262 "y" 416.76 0.706777991 0.000136822 2.5495512 1999 98 3 "F" NA
"156" "SR11262" 11262 "y" 459.07 0.706750459 0.000127559 2.470249379 1999 98 3 "F" NA
"157" "SR11262" 11262 "" 485.14 0.706691159 0.000121132 2.197357182 1999 98 3 "F" NA
"158" "SR11262" 11262 "y" 493.27 0.706745094 7.73e-05 2.28050442 1999 98 3 "F" NA
"159" "SR11262" 11262 "" 527.12 0.706806229 0.000167283 2.573009104 1999 98 3 "F" NA
"160" "SR11262" 11262 "" 532.2 0.707086173 0.000109453 2.719479706 1999 98 3 "F" NA
"161" "SR11262" 11262 "" 565.38 0.708459483 0.000111909 4.627304338 1999 98 3 "F" NA
"162" "SR11262" 11262 "" 570.8 0.708802644 7.45e-05 4.827816632 1999 98 3 "F" NA
"163" "SR11262" 11262 "" 607.7 0.708957419 7.69e-05 4.574884568 1999 98 3 "F" NA
"164" "SR11262" 11262 "" 653.4 0.709045736 6.69e-05 4.029099391 1999 98 3 "F" NA
"165" "SR11262" 11262 "" 696.74 0.709131823 0.00014125 4.055186485 1999 98 3 "F" NA
"166" "SR11262" 11262 "" 732.28 0.70910438 0.000112757 4.19300843 1999 98 3 "F" NA
"167" "SR11262" 11262 "" 780.02 0.709068229 8.36e-05 4.447064381 1999 98 3 "F" NA
"168" "SR11264" 11264 "" 10.83 0.708394223 0.00030259 3.331494671 1999 77 3 "F" NA
"169" "SR11264" 11264 "" 49.43 0.708649818 0.000241947 4.147595637 1999 77 3 "F" NA
"170" "SR11264" 11264 "" 83.62 0.708256492 0.000213263 3.439886188 1999 77 3 "F" NA
"171" "SR11264" 11264 "" 117.82 0.708011574 0.000147194 3.285479834 1999 77 3 "F" NA
"172" "SR11264" 11264 "" 158.78 0.707684037 0.00012854 3.202674282 1999 77 3 "F" NA
"173" "SR11264" 11264 "" 198.73 0.707469037 0.000224465 3.99424129 1999 77 3 "F" NA
"174" "SR11264" 11264 "" 233.26 0.707922547 0.000121288 2.987443404 1999 77 3 "F" NA
"175" "SR11264" 11264 "y" 276.26 0.707979932 0.000224381 3.030393614 1999 77 3 "F" NA
"176" "SR11264" 11264 "y" 319.93 0.707736025 0.000196691 2.404141359 1999 77 3 "F" NA
"177" "SR11264" 11264 "y" 356.83 0.707675755 0.000225386 2.425722068 1999 77 3 "F" NA
"178" "SR11264" 11264 "y" 395.09 0.707584739 0.00010769 2.671434073 1999 77 3 "F" NA
"179" "SR11264" 11264 "y" 437.41 0.707694728 0.00010889 2.91652419 1999 77 3 "F" NA
"180" "SR11264" 11264 "y" 475.32 0.707458224 0.00015324 2.875921078 1999 77 3 "F" NA
"181" "SR11264" 11264 "y" 515.95 0.707578118 0.000179278 3.060860794 1999 77 3 "F" NA
"182" "SR11264" 11264 "y" 557.25 0.707485152 0.000141329 3.071496189 1999 77 3 "F" NA
"183" "SR11264" 11264 "y" 598.22 0.707890805 0.000169304 2.674392382 1999 77 3 "F" NA
"184" "SR11264" 11264 "y" 639.52 0.707661717 0.000132595 2.568255573 1999 77 3 "F" NA
"185" "SR11264" 11264 "y" 680.15 0.707712014 0.000113593 2.594315515 1999 77 3 "F" NA
"186" "SR11264" 11264 "y" 721.11 0.707519276 0.000191744 2.754992895 1999 77 3 "F" NA
"187" "SR11264" 11264 "y" 763.43 0.707569532 0.000169455 3.31662221 1999 77 3 "F" NA
"188" "SR11264" 11264 "y" 813.2 0.707534627 0.000188505 3.176971126 1999 77 3 "F" NA
"189" "SR11264" 11264 "y" 853.82 0.707703232 0.000199829 2.87230218 1999 77 3 "F" NA
"190" "SR11264" 11264 "y" 894.11 0.70749408 0.000163115 3.138444188 1999 77 3 "F" NA
"191" "SR11264" 11264 "" 935.08 0.707716864 0.000184163 4.157062664 1999 77 3 "F" NA
"192" "SR11264" 11264 "" 974.69 0.708898967 0.000126702 3.582553552 1999 77 3 "F" NA
"193" "SR11269" 11269 "" 36 0.708260403 2e-04 2.43447 2000 55 2 "F" 60250
"194" "SR11269" 11269 "" 61 0.7083004 0.00015 2.50719 2000 55 2 "F" 60250
"195" "SR11269" 11269 "" 95 0.708017421 0.000116 2.41044 2000 55 2 "F" 60250
"196" "SR11269" 11269 "" 144 0.707628451 0.00012 2.713 2000 55 2 "F" 60250
"197" "SR11269" 11269 "" 186 0.707573455 0.000118 3.62595 2000 55 2 "F" 60250
